69
34	141	102	20	1	3.65	4.65	1		1		0		
118	161	94	20	1	3.66	4.66	2		0		0		
190	223	11	30	1	3.66	4.66	0		0		2		
168	136	104	20	1	3.67	4.67	1		1		0		
57	137	104	40	1	3.68	4.68	1		0		1		
208	225	22	10	1	3.69	4.69	1		0		1		
245	111	112	30	1	3.72	4.72	1		1		0		
41	211	61	40	1	3.75	4.75	2		0		0		
191	164	95	30	1	3.75	4.75	1		0		1		
248	227	26	40	1	3.75	4.75	0		1		1		
253	166	94	30	1	3.75	4.75	0		1		1		
237	212	62	40	1	3.79	4.79	0		2		0		
283	213	61	40	1	3.79	4.79	1		1		0		
39	113	114	10	1	3.84	4.84	0		1		1		
243	211	66	40	1	3.85	4.85	1		0		1		
216	168	96	30	1	3.86	4.86	1		1		0		
74	213	65	20	1	3.87	4.87	1		1		0		
167	216	62	40	1	3.88	4.88	0		2		0		
211	168	97	20	1	3.89	4.89	0		2		0		
143	140	108	40	1	3.90	4.90	2		0		0		
52	213	68	40	1	3.93	4.93	0		0		2		
297	215	68	30	1	3.98	4.98	1		1		0		
223	217	69	20	1	4.04	5.04	1		1		0		
90	220	66	20	1	4.05	5.05	0		2		0		
113	164	103	30	1	4.06	5.06	1		0		1		
6	143	111	20	1	4.08	5.08	2		0		0		
277	217	73	20	1	4.13	5.13	1		0		1		
299	221	70	20	1	4.15	5.15	2		0		0		
95	160	107	30	1	4.16	5.16	2		0		0		
9	166	105	30	1	4.17	5.17	1		0		1		
65	167	105	40	1	4.19	5.19	1		0		1		
220	162	107	30	1	4.19	5.19	2		0		0		
101	160	108	20	1	4.20	5.20	0		2		0		
24	220	74	30	1	4.22	5.22	0		1		1		
178	184	97	10	1	4.23	5.18	2		0		0		
104	222	73	40	1	4.24	5.24	2		0		0		
193	183	97	20	1	4.24	5.16	2		0		0		
257	185	98	40	1	4.24	5.23	0		0		2		
201	184	98	40	1	4.25	5.21	0		1		1		
79	159	110	10	1	4.27	5.27	1		0		1		
153	223	74	20	1	4.28	5.28	1		0		1		
159	183	99	30	1	4.29	5.23	0		2		0		
4	160	111	40	1	4.32	5.32	0		2		0		
85	168	108	20	1	4.32	5.32	2		0		0		
165	179	97	40	1	4.32	5.09	0		0		2		
284	179	98	40	1	4.34	5.12	1		1		0		
176	231	70	40	1	4.37	5.37	1		1		0		
83	161	112	20	1	4.38	5.38	2		0		0		
108	181	102	20	1	4.38	5.31	1		1		0		
280	224	77	20	1	4.38	5.38	0		1		1		
142	236	66	30	1	4.40	5.40	1		0		1		
105	224	79	30	1	4.43	5.43	1		1		0		
259	165	113	10	1	4.48	5.48	0		0		2		
157	222	83	30	1	4.49	5.49	2		0		0		
53	175	101	10	1	4.50	5.16	2		0		0		
119	166	113	40	1	4.50	5.50	1		1		0		
275	227	80	20	1	4.73	5.73	2		0		0		
126	201	121	30	1	5.24	5.83	1		0		1		
26	203	125	20	1	5.30	5.96	2		0		0		
261	204	127	30	1	5.34	6.00	1		0		1		
114	206	129	30	1	5.36	6.00	1		1		0		
84	203	128	40	1	5.37	6.00	0		0		2		
212	201	127	30	1	5.37	5.96	0		0		2		
109	204	129	30	1	5.38	6.00	0		2		0		
22	199	126	40	1	5.39	5.90	2		0		0		
240	204	131	10	1	5.42	6.00	0		2		0		
97	202	131	30	1	5.45	6.00	0		1		1		
169	199	130	30	1	5.47	5.99	2		0		0		
87	202	133	20	1	5.49	6.00	2		0		0		
