20
4	121	40	0	0	2	2.36
24	55	68	1	0	1	1.90456
28	149	15	0	0	1	2.8458
53	141	14	0	2	0	2.7
56	81	62	0	1	1	2.05545
65	106	63	0	0	2	2.58
66	144	8	0	2	0	2.73667
122	70	75	0	0	1	1.59978
123	53	66	0	0	1	0.85544
126	140	10	1	1	0	2.7
147	150	28	0	1	1	2.93
163	147	15	0	1	0	2.84
168	177	75	1	1	0	4.28721
172	83	64	2	0	0	2.13333
187	81	77	1	0	1	2.68
220	149	6	1	0	1	2.94
247	102	65	0	2	0	2.57
254	114	96	2	0	0	4
267	147	19	2	0	0	2.83
270	119	47	1	1	0	2.44

nv	12	12	12

Vehicles departing from depots at the previous stage:
