12
16	175	141	40	1	5.35	6.35	5.35	6.35	0.00	20.00	0.00	20.00	1		0		1		
17	218	113	40	1	5.56	6.06	0.00	20.00	5.06	6.06	5.56	6.56	1		0		1		
19	224	109	20	1	5.38	6.09	0.00	20.00	5.09	6.09	5.38	6.38	1		1		0		
74	226	111	10	1	5.40	6.18	0.00	20.00	5.18	6.18	5.40	6.40	0		1		1		
145	220	109	40	1	5.43	6.00	0.00	20.00	5.00	6.00	5.43	6.43	2		0		0		
155	178	144	40	1	5.34	6.34	5.34	6.34	0.00	20.00	0.00	20.00	0		2		0		
166	164	149	10	1	5.89	6.89	5.89	6.89	0.00	20.00	0.00	20.00	1		0		1		
195	224	106	20	1	5.31	6.02	0.00	20.00	5.02	6.02	5.31	6.31	2		0		0		
224	224	113	40	1	5.46	6.17	0.00	20.00	5.17	6.17	5.46	6.46	0		1		1		
225	175	145	40	1	5.43	6.43	5.43	6.43	0.00	20.00	0.00	20.00	0		2		0		
246	225	110	30	1	5.39	6.13	0.00	20.00	5.13	6.13	5.39	6.39	0		0		2		
250	166	151	30	1	5.85	6.85	5.85	6.85	0.00	20.00	0.00	20.00	0		0		2		
