21
0	150	150	0	0	0.00	20.00	0		0		
1	162	107	30	1	4.19	5.19	1		1		
3	125	103	10	1	3.47	4.47	1		0		
5	55	68	10	1	0.92	1.92	1		1		
6	186	26	20	1	2.77	3.77	1		1		
9	89	61	30	1	1.19	2.19	1		0		
12	159	89	10	1	3.44	4.44	0		1		
13	105	81	40	1	2.22	3.22	0		1		
16	212	26	10	1	3.39	4.39	0		1		
18	222	83	30	1	4.49	5.49	0		1		
19	136	68	40	1	2.32	3.32	0		1		
20	150	104	20	1	3.88	4.88	1		1		
21	212	45	40	1	3.53	4.53	0		1		
24	165	113	40	1	4.48	5.48	1		1		
25	248	41	30	1	4.33	5.33	1		1		
26	109	110	40	1	3.60	4.60	1		0		
27	106	71	30	1	1.85	2.85	1		0		
28	102	76	20	1	1.97	2.97	1		0		
30	52	63	10	1	0.65	1.65	1		1		
34	59	64	40	1	0.80	1.80	1		1		
39	129	77	40	1	2.48	3.48	1		1		
