14
3	214	156	0	1	1	6.65461
58	209	127	0	1	1	6.04635
88	211	150	1	1	0	6.24419
109	204	129	0	2	0	6.23393
114	206	129	1	1	0	6.11953
187	218	153	1	1	0	6.27518
206	216	148	1	0	1	6.61451
212	201	127	0	0	2	6.06821
251	216	157	1	0	1	6.38832
4	160	111	0	1	0	4.91935
84	203	128	0	0	2	5.50876
22	199	126	2	0	0	5.45707
97	202	131	0	1	1	5.70764
169	199	130	2	0	0	5.97758

nv	9	9	9

Vehicles departing from depots at the previous stage:
4	160	111	0	1	0	4.91935
84	203	128	0	0	2	5.50876
22	199	126	2	0	0	5.45707
97	202	131	0	1	1	5.70764
169	199	130	2	0	0	5.97758
