14
56	175	152	1	1	0	6.5717
121	188	139	0	0	2	6.06048
144	198	145	1	1	0	6.2635
110	229	6	0	0	1	4.53196
73	216	69	0	2	0	4.84804
34	240	13	0	0	2	4.9973
246	249	22	0	1	1	5.0808
108	150	115	1	1	0	5.20696
158	224	79	1	0	1	5.41513
63	256	14	1	0	1	5.14846
194	187	112	0	1	1	5.35915
265	181	117	1	1	0	5.05958
161	231	92	2	0	0	5.97531
152	198	127	1	1	0	5.89545

nv	9	9	9

Vehicles departing from depots at the previous stage:
110	229	6	0	0	1	4.53196
73	216	69	0	2	0	4.84804
34	240	13	0	0	2	4.9973
246	249	22	0	1	1	5.0808
108	150	115	1	1	0	5.20696
158	224	79	1	0	1	5.41513
63	256	14	1	0	1	5.14846
194	187	112	0	1	1	5.35915
265	181	117	1	1	0	5.05958
161	231	92	2	0	0	5.97531
152	198	127	1	1	0	5.89545
