138
228	170	102	20	1	4.12	5.12	0.00	20.00	0.00	20.00	0.00	20.00	0		2		0		
212	173	101	30	1	4.13	5.13	0.00	20.00	0.00	20.00	0.00	20.00	2		0		0		
236	234	54	10	1	4.15	5.15	0.00	20.00	0.00	20.00	0.00	20.00	1		1		0		
260	234	56	40	1	4.18	5.18	0.00	20.00	0.00	20.00	0.00	20.00	2		0		0		
226	236	53	30	1	4.19	5.19	0.00	20.00	0.00	20.00	0.00	20.00	1		0		1		
165	160	108	30	1	4.20	5.20	0.00	20.00	0.00	20.00	0.00	20.00	1		0		1		
129	235	56	20	1	4.21	5.21	0.00	20.00	0.00	20.00	0.00	20.00	1		1		0		
134	236	55	30	1	4.21	5.21	0.00	20.00	0.00	20.00	0.00	20.00	0		2		0		
288	238	53	30	1	4.23	5.23	0.00	20.00	0.00	20.00	0.00	20.00	0		0		2		
7	157	111	10	1	4.28	5.28	0.00	20.00	0.00	20.00	0.00	20.00	1		1		0		
197	236	59	10	1	4.28	5.28	0.00	20.00	0.00	20.00	0.00	20.00	0		2		0		
146	237	59	40	1	4.30	5.30	0.00	20.00	0.00	20.00	0.00	20.00	0		1		1		
338	193	103	20	1	4.33	5.33	0.00	20.00	0.00	20.00	0.00	20.00	0		2		0		
182	191	105	30	1	4.37	5.37	0.00	20.00	0.00	20.00	0.00	20.00	0		0		2		
125	190	107	10	1	4.41	5.41	0.00	20.00	0.00	20.00	0.00	20.00	0		0		2		
268	235	68	10	1	4.42	5.42	0.00	20.00	0.00	20.00	0.00	20.00	0		0		2		
13	238	65	20	1	4.43	5.43	0.00	20.00	0.00	20.00	0.00	20.00	2		0		0		
246	181	104	30	1	4.43	5.38	0.00	20.00	0.00	20.00	0.00	20.00	1		1		0		
5	235	69	10	1	4.44	5.44	0.00	20.00	0.00	20.00	0.00	20.00	0		0		2		
223	240	64	20	1	4.45	5.45	0.00	20.00	0.00	20.00	0.00	20.00	0		2		0		
193	192	109	40	1	4.46	5.46	0.00	20.00	0.00	20.00	0.00	20.00	2		0		0		
73	241	64	40	1	4.47	5.47	0.00	20.00	0.00	20.00	0.00	20.00	0		1		1		
14	191	110	10	1	4.48	5.48	0.00	20.00	0.00	20.00	0.00	20.00	1		0		1		
335	189	110	40	1	4.48	5.48	0.00	20.00	0.00	20.00	0.00	20.00	0		2		0		
276	189	112	20	1	4.52	5.52	0.00	20.00	0.00	20.00	0.00	20.00	0		1		1		
54	175	103	10	1	4.54	5.24	0.00	20.00	0.00	20.00	0.00	20.00	0		2		0		
50	187	114	30	1	4.57	5.57	0.00	20.00	0.00	20.00	0.00	20.00	1		1		0		
285	199	110	40	1	5.04	5.56	0.00	20.00	0.00	20.00	0.00	20.00	1		1		0		
194	194	108	10	1	5.12	5.45	0.00	20.00	0.00	20.00	0.00	20.00	2		0		0		
38	192	113	30	1	5.28	5.55	0.00	20.00	0.00	20.00	0.00	20.00	1		0		1		
21	232	113	10	1	5.44	6.44	0.00	20.00	0.00	20.00	5.44	6.44	0		1		1		
24	226	109	30	1	5.36	6.14	0.00	20.00	5.14	6.14	5.36	6.36	0		0		2		
31	160	143	10	1	5.96	6.96	5.96	6.96	0.00	20.00	0.00	20.00	0		0		2		
72	164	140	30	1	5.71	6.71	5.71	6.71	0.00	20.00	0.00	20.00	1		1		0		
86	224	111	40	1	5.42	6.13	0.00	20.00	5.13	6.13	5.42	6.42	1		0		1		
110	166	146	30	1	5.75	6.75	5.75	6.75	0.00	20.00	0.00	20.00	2		0		0		
124	160	140	40	1	5.90	6.90	5.90	6.90	0.00	20.00	0.00	20.00	0		0		2		
140	164	144	20	1	5.79	6.79	5.79	6.79	0.00	20.00	0.00	20.00	1		1		0		
144	166	148	30	1	5.79	6.79	5.79	6.79	0.00	20.00	0.00	20.00	1		1		0		
200	166	147	40	1	5.77	6.77	5.77	6.77	0.00	20.00	0.00	20.00	1		1		0		
201	230	109	30	1	5.35	6.35	0.00	20.00	0.00	20.00	5.35	6.35	0		0		2		
203	163	150	30	1	5.96	6.96	5.96	6.96	0.00	20.00	0.00	20.00	0		0		2		
240	230	102	30	1	5.20	6.20	0.00	20.00	0.00	20.00	5.20	6.20	0		1		1		
243	231	109	10	1	5.35	6.35	0.00	20.00	0.00	20.00	5.35	6.35	1		0		1		
263	226	106	40	1	5.30	6.30	0.00	20.00	0.00	20.00	5.30	6.30	2		0		0		
264	168	146	40	1	5.67	6.67	5.67	6.67	0.00	20.00	0.00	20.00	0		2		0		
297	226	113	20	1	5.45	6.23	0.00	20.00	5.23	6.23	5.45	6.45	1		1		0		
329	225	110	40	1	5.39	6.13	0.00	20.00	5.13	6.13	5.39	6.39	1		1		0		
206	189	153	40	1	0.00	20.00	5.41	6.41	0.00	20.00	0.00	20.00	0		1		1		
45	186	156	10	1	0.00	20.00	5.49	6.49	0.00	20.00	0.00	20.00	1		1		0		
267	191	157	10	1	0.00	20.00	5.50	6.50	0.00	20.00	0.00	20.00	1		1		0		
135	182	156	20	1	0.00	20.00	5.53	6.53	0.00	20.00	0.00	20.00	2		0		0		
330	186	158	30	1	0.00	20.00	5.54	6.54	0.00	20.00	0.00	20.00	1		1		0		
40	184	159	20	1	0.00	20.00	5.57	6.57	0.00	20.00	0.00	20.00	0		1		1		
