209
0	150	150
1	193	162
2	216	61
3	197	125
4	199	143
5	159	28
6	172	230
7	232	55
8	120	72
9	259	159
10	145	57
11	274	186
12	168	247
13	221	110
14	226	110
15	194	180
16	227	240
17	192	160
18	154	234
19	92	69
20	211	159
21	219	105
22	151	14
23	183	74
24	160	140
25	217	222
26	176	88
27	232	136
28	176	250
29	253	208
30	238	212
31	196	150
32	67	77
33	255	212
34	175	57
35	179	232
36	168	255
37	116	18
38	187	165
39	189	143
40	190	109
41	229	106
42	161	38
43	178	9
44	224	102
45	140	60
46	190	88
47	173	122
48	237	52
49	159	53
50	159	265
51	174	250
52	158	188
53	236	59
54	150	34
55	187	59
56	196	282
57	223	129
58	101	96
59	146	67
60	219	2
61	192	106
62	230	231
63	227	242
64	135	93
65	102	10
66	200	82
67	219	73
68	231	217
69	76	85
70	147	0
71	257	147
72	216	253
73	221	224
74	193	110
75	164	125
76	224	149
77	239	211
78	197	107
79	220	227
80	197	269
81	204	122
82	231	65
83	149	16
84	200	277
85	109	25
86	109	11
87	181	25
88	232	215
89	196	137
90	83	51
91	123	14
92	174	259
93	190	111
94	228	176
95	238	216
96	194	271
97	241	64
98	143	206
99	143	66
100	195	109
101	236	173
102	235	213
103	95	17
104	196	119
105	226	220
106	152	109
107	226	223
108	97	47
109	210	69
110	69	33
111	222	131
112	132	6
113	196	277
114	152	162
115	162	61
116	145	117
117	173	126
118	144	65
119	125	67
120	68	78
121	167	249
122	190	139
123	172	252
124	177	57
125	146	71
126	202	111
127	230	221
128	192	236
129	187	268
130	174	37
131	109	75
132	223	224
133	177	166
134	187	151
135	264	203
136	217	129
137	226	38
138	195	166
139	202	129
140	74	30
141	122	15
142	228	236
143	227	99
144	187	166
145	259	228
146	169	80
147	183	208
148	112	113
149	207	155
150	236	60
151	229	241
152	232	57
153	148	219
154	211	72
155	225	85
156	95	3
157	140	76
158	184	56
159	247	170
160	102	12
161	240	120
162	200	275
163	227	217
164	208	123
165	151	4
166	241	63
167	145	63
168	160	158
169	232	65
170	143	61
171	127	102
172	222	103
173	224	24
174	177	179
175	216	157
176	91	17
177	181	233
178	195	167
179	199	127
180	191	108
181	272	199
182	181	3
183	160	136
184	251	191
185	62	2
186	207	94
187	193	160
188	200	138
189	145	8
190	188	111
191	206	128
192	96	16
193	199	277
194	203	274
195	167	257
196	234	220
197	229	240
198	227	222
199	216	209
200	166	250
201	98	13
202	183	93
203	203	275
204	179	206
205	126	107
206	239	224
207	126	124
208	190	101
