21
3	197	125	2	0	0	5.85
19	92	69	0	2	0	2.53
32	67	77	0	0	2	2.49
46	190	88	1	0	1	4.98782
66	200	82	0	1	1	4.96118
67	219	73	0	0	2	5.18
87	181	25	1	1	0	3.61037
97	241	64	2	0	0	5.47
108	97	47	1	0	1	1.89401
109	210	69	0	1	0	4.23939
131	109	75	0	0	1	2.93716
150	236	60	2	0	0	5.29
154	211	72	1	0	1	4.98
155	225	85	1	1	0	5.56517
171	127	102	0	1	1	4.15349
173	224	24	0	0	1	4.00915
180	191	108	1	1	0	5.26984
242	153	10	0	2	0	2.93807
251	110	45	0	1	0	2.2
255	155	30	0	1	0	2.43386
288	156	9	0	0	1	2.70125

nv	12	12	12

Vehicles departing from depots at the previous stage:
