0	150	150	0	0	0.00	20.00	0		0		
1	162	107	30	1	4.19	5.19	1		1		
3	125	103	10	1	3.47	4.47	1		0		
4	230	128	20	1	5.66	6.00	1		1		
5	55	68	10	1	0.92	1.92	1		1		
6	186	26	20	1	2.77	3.77	1		1		
9	89	61	30	1	1.19	2.19	1		0		
12	159	89	10	1	3.44	4.44	0		1		
13	105	81	40	1	2.22	3.22	0		1		
16	212	26	10	1	3.39	4.39	0		1		
18	222	83	30	1	4.49	5.49	0		1		
19	136	68	40	1	2.32	3.32	0		1		
20	150	104	20	1	3.88	4.88	1		1		
21	212	45	40	1	3.53	4.53	0		1		
22	232	121	30	1	5.61	6.00	1		1		
24	165	113	40	1	4.48	5.48	1		1		
25	248	41	30	1	4.33	5.33	1		1		
26	109	110	40	1	3.60	4.60	1		0		
27	106	71	30	1	1.85	2.85	1		0		
28	102	76	20	1	1.97	2.97	1		0		
30	52	63	10	1	0.65	1.65	1		1		
34	59	64	40	1	0.80	1.80	1		1		
39	129	77	40	1	2.48	3.48	1		1		
2	199	213	10	1	6.78	7.78	1		1		
7	231	243	15	1	8.47	9.47	1		0		
14	149	183	10	1	7.33	8.33	0		1		
15	209	269	20	1	8.16	9.16	1		1		
17	152	241	15	1	8.28	9.28	1		0		
29	172	225	10	1	7.20	8.20	1		0		
31	175	281	10	1	8.34	9.34	1		1		
33	188	142	5	1	6.00	6.18	1		1		
36	140	214	15	1	8.46	9.46	1		0		
37	145	184	20	1	7.59	8.59	0		1		
38	184	277	20	1	8.13	9.13	1		1		
